molecule,cutoff,E_equ,E_diss,deltaE_mean,E_equ_err,E_diss_err,deltaE_err,opt_step_begin,opt_step_end,E_diss_extrapolated,E_equ_extrapolated,deltaE_extrapolated
01_Water_dimer,3,-34.51377118323656,-34.50647445716479,0.007296726071770041,5.0118504006813854e-05,4.884959751010043e-05,6.947259164542703e-05,34782,39833,-34.52047139183694,-34.528753423429116,0.008282031592173666
01_Water_dimer,5,-34.51527896979551,-34.507739343593414,0.007539626202097476,3.223405561641692e-05,3.09325236765477e-05,4.463279784459414e-05,44936,50000,-34.51162920328838,-34.51978112239046,0.008151919102083127
02_Formic_acid_dimer,3,-77.9737275794171,-77.94761579812118,0.02611178129593102,0.0001039900740355084,0.00010832156631046413,0.00015066263755096593,21642,26688,-78.07710962579499,-78.10699128920231,0.029881663407323344
02_Formic_acid_dimer,5,-77.98356099582249,-77.95651877840125,0.027042217421256787,8.180338121132996e-05,7.6588403579654e-05,0.00011205107630087746,44944,50000,-77.98583971950211,-78.01479281766309,0.028953098160982904
03_Formamide_dimer,3,-66.95347850341797,-66.93136077423095,0.022117729187011718,0.00010843564419749462,0.00010281246588351546,0.00014719827307289236,94961,100000,-66.92984062235529,-66.95225627885796,0.022415656502673187
03_Formamide_dimer,5,-66.96157607574463,-66.93831700592041,0.02325906982421875,7.173099075524169e-05,6.703985239139279e-05,9.872113368566027e-05,94954,100000,-66.96610182610411,-66.99054008380119,0.024438257697084964
04_Uracil_dimer_h-bonded,3,-154.20523840332032,-154.18015668640138,0.025081716918945313,0.00020975833405475534,0.00020427779668924276,0.0002914105661034049,57273,62309,-154.35506134634193,-154.38104948267986,0.02598813633792929
04_Uracil_dimer_h-bonded,5,-154.2346214691162,-154.21296016540526,0.0216613037109375,0.0001439495070706786,0.00013668220061913245,0.00019986773654869926,94945,100000,-154.30445382008514,-154.3363361255447,0.03188230545956117
05_Methane_dimer,3,-16.173438366760017,-16.17288061732711,0.0005577494329056336,4.966221177344796e-05,4.754292237423188e-05,6.877998852152047e-05,42616,47649,-16.16890196626568,-16.16939765967362,0.0004956934079416442
05_Methane_dimer,5,-16.17572192639277,-16.17503661841675,0.0006853079760253103,1.9592507985074308e-05,1.8360005299611993e-05,2.7027015958270733e-05,44929,50000,-16.177672799445997,-16.178584112250167,0.0009113128041704499
06_Ethene_dimer,3,-27.463149191466293,-27.461719042881672,0.001430148584620531,7.842197202354274e-05,8.05309341801173e-05,0.00011203310036732429,59533,64564,-27.429485338794105,-27.43116328392258,0.0016779451284740787
06_Ethene_dimer,5,-27.468304034877544,-27.46662884951555,0.0016751853619941073,3.8512204851088674e-05,3.7370987350362754e-05,5.389911494630609e-05,44943,50000,-27.478595232816794,-27.480861706254252,0.0022664734374586715
07_Uracil_dimer_stack,3,-154.18482861633302,-154.1801196533203,0.004708963012695313,0.00020649405808606067,0.00020835357600464138,0.00029191348400683253,44669,49709,-154.4084449621765,-154.42833411076995,0.01988914859344959
07_Uracil_dimer_stack,5,-154.21579992675782,-154.2052011077881,0.010598818969726562,0.0001469348827318467,0.00015611061131717063,0.00021082099689407542,72291,77354,-154.26159895638986,-154.27738547642903,0.015786520039171137
08_Ethene-ethyne_complex,3,-26.210345989184628,-26.20790320220971,0.002442786974915765,7.995991596718193e-05,7.992171169474063e-05,0.00011429788817445456,37057,42097,-26.16945237355179,-26.17126911183648,0.0018167382846918656
08_Ethene-ethyne_complex,5,-26.21606390117589,-26.214006277861884,0.002057623314013145,3.7811051487233965e-05,3.7751617686169227e-05,5.3871013815838996e-05,44944,49999,-26.221069280225855,-26.22349685397392,0.002427573748065015
09_Benzene-water_complex,3,-54.92746309738159,-54.92301109237671,0.004452005004882836,0.00011817539315745547,0.00012102042737115419,0.00016892101865362996,94955,100000,-54.85938845478786,-54.86497626938302,0.005587814595159557
09_Benzene-water_complex,5,-54.93881509552002,-54.9340455657959,0.004769529724121124,6.432466129186564e-05,6.601466159202369e-05,9.222119827480397e-05,94915,99999,-54.96049943905283,-54.96565765118977,0.005158212136940676
10_Benzene_dimer_T-shaped,3,-75.32919033989161,-75.32693649966636,0.002253840225242661,0.00017024170232140214,0.00016688146327039727,0.00023689274914785494,44960,50000,-75.33622138633496,-75.33916933317921,0.0029479468442588086
10_Benzene_dimer_T-shaped,5,-75.35966530303955,-75.35623684082032,0.0034284622192382814,9.003021720420168e-05,9.113935411455349e-05,0.00012771760833654288,69937,75000,-75.40346271218745,-75.40706359291076,0.0036008807233116613
10_Benzene_dimer_T-shaped,7,-75.36118724365234,-75.35713190460206,0.004055339050292968,8.716823233202263e-05,8.85146374712113e-05,0.00012363707812037357,69933,75000,-75.38220551798176,-75.38676585030403,0.00456033232227071
11_Phenol_dimer,3,-107.4197207473755,-107.41540927124024,0.004311476135254177,0.00019006735684714944,0.00019011832450381748,0.0002697827702210935,56956,62006,-107.74074421825902,-107.75551703743292,0.014772819173899165
11_Phenol_dimer,5,-107.45133015747071,-107.4385996810913,0.012730476379394525,0.00011388309888587951,0.00012101884481296363,0.00016570852149780258,94946,100000,-107.48180122514047,-107.4936186585959,0.011817433455433957
